Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 01:03:56.965000,1,0 days 00:01:32.190000,1.0,,,,0 days 00:00:38.769000,0 days 00:00:33.004000,,0 days 01:03:24.128000,0 days 01:03:57.112000,284.0,293.0,213.0,304.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:24.519000,2023-11-26 13:03:25.644,1,1.0,False,,False,False,92.19,0.0,38.769,33.004,0.0,3804.128,3837.112,3836.965,3744.519,201.68305970258993,305.0,71.84565212769108,10154.670603052646,12122.0,68.42136835173672,41.3176051265121,0.17908309455587393,125,1.0,698,2.1280809277033006,0.0,5.017191977077364,8,0,0.0,92.19,0.017241379310344827,28,0.03571428571428571,-27.0,1.9230000000000018,92.19,0.0,0.0,16.5,-15.5,0.31968482373447416,3.4438003897524583,614472.228587436,13799.430918216214,25210.38246282374,64.47501339125189
1,0 days 01:05:27.675000,1,0 days 00:01:30.710000,2.0,,,0 days 00:00:18.377000,0 days 00:00:38.691000,0 days 00:00:33.642000,0 days 01:04:15.424000,0 days 01:04:54.115000,0 days 01:05:27.757000,281.0,285.0,212.0,294.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:56.965000,2023-11-26 13:04:58.090,1,1.0,False,,False,True,90.71,18.377,38.691,33.642,3855.424,3894.115,3927.757,3927.675,3836.965,207.13736612197712,304.0,63.950997282995495,10027.037959926838,11916.0,63.329143792204235,42.42367477677185,0.16138328530259366,112,1.0,694,2.0161895649834243,1.887929976047105,5.329971181556196,8,0,-1.480000000000004,182.89999999999998,0.034482758620689655,28,0.07142857142857142,-26.0,0.44299999999999784,91.44999999999999,1.0465180361560882,0.0,16.5,-14.5,0.3315441481561838,3.3343364189267546,453595.7330900446,13117.832043877142,23199.38500566144,68.67518160222647
2,0 days 01:06:58.083000,1,0 days 00:01:30.408000,3.0,,,0 days 00:00:18.549000,0 days 00:00:38.725000,0 days 00:00:33.134000,0 days 01:05:46.306000,0 days 01:06:25.031000,0 days 01:06:58.165000,280.0,293.0,211.0,299.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:05:27.675000,2023-11-26 13:06:28.800,1,1.0,False,,False,True,90.408,18.549,38.725,33.134,3946.306,3985.031,4018.165,4018.083,3927.675,208.24185517726852,305.0,63.87877266892079,10096.853400761769,11959.0,65.54951672727208,41.806814845918296,0.16475644699140402,115,0.024355300859598854,17,1.760079170830376,1.6315880862832428,5.306590257879656,8,0,-0.3019999999999925,273.308,0.05172413793103448,28,0.10714285714285714,-25.0,0.14100000000000534,91.10266666666666,0.9536882789115764,0.0,16.5,-13.5,0.3623084477316453,0.08124569525345536,481530.6079215889,13650.152969260533,23947.81334538588,75.44778330203424
3,0 days 01:08:28.799000,1,0 days 00:01:30.716000,4.0,,,0 days 00:00:18.562000,0 days 00:00:38.810000,0 days 00:00:33.344000,0 days 01:07:16.727000,0 days 01:07:55.537000,0 days 01:08:28.881000,280.0,291.0,212.0,293.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:58.083000,2023-11-26 13:07:59.208,1,1.0,False,,False,True,90.716,18.562,38.81,33.344,4036.727,4075.537,4108.881,4108.799,4018.083,208.54670377956026,305.0,64.32811296219393,10064.506418553452,12020.0,64.81675003092406,41.803646232927605,0.14905933429811866,103,0.0,0,1.501164795509803,1.3746459298093012,5.379160636758321,8,0,0.3079999999999927,364.024,0.06896551724137931,28,0.14285714285714285,-24.0,0.44899999999999807,91.006,0.8023249549486346,0.0,16.5,-12.5,0.39981371950990285,0.0,429462.5394366516,13517.319568652922,21480.31048929471,83.37983332963591
4,0 days 01:09:59.351000,1,0 days 00:01:30.552000,5.0,,,0 days 00:00:18.599000,0 days 00:00:38.714000,0 days 00:00:33.239000,0 days 01:08:47.480000,0 days 01:09:26.194000,0 days 01:09:59.433000,280.0,293.0,209.0,291.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:08:28.799000,2023-11-26 13:09:29.924,1,1.0,False,,False,True,90.552,18.599,38.714,33.239,4127.48,4166.194,4199.433,4199.351,4108.799,206.33573731354448,305.0,63.96654329518092,10012.866927777159,11825.0,62.7342781274656,42.23769701464165,0.15561959654178675,108,0.0,0,1.3520375186736093,1.2204787212488366,5.338616714697406,8,0,-0.16399999999998727,454.576,0.08620689655172414,28,0.17857142857142858,-23.0,0.2850000000000108,90.9152,0.7238903231843862,0.0,16.5,-11.5,0.4251632859002745,0.0,433392.6511367046,12944.323532263581,22284.259629862805,87.72638007488246
5,0 days 01:11:29.791000,1,0 days 00:01:30.440000,6.0,,,0 days 00:00:18.445000,0 days 00:00:38.767000,0 days 00:00:33.228000,0 days 01:10:17.878000,0 days 01:10:56.645000,0 days 01:11:29.873000,281.0,294.0,212.0,291.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:09:59.351000,2023-11-26 13:11:00.476,1,1.0,False,,False,True,90.44,18.445,38.767,33.228,4217.878,4256.645,4289.873,4289.791,4199.351,208.30432107842626,305.0,64.64633867851371,10036.710607305538,11771.0,63.46916054180308,42.54129878335978,0.15574963609898107,107,0.0,0,1.3828388535352236,1.1300000000410364,5.349344978165939,8,0,-0.11200000000000898,545.016,0.10344827586206896,28,0.21428571428571427,-22.0,0.17300000000000182,90.5652,0.1451454442963786,-0.3269999999999982,16.5,-10.5,0.41966748969045126,0.0,439026.22673882055,13220.90039607793,22288.56235539161,87.4185515186569
6,0 days 01:13:00.320000,1,0 days 00:01:30.529000,7.0,,,0 days 00:00:18.491000,0 days 00:00:38.692000,0 days 00:00:33.346000,0 days 01:11:48.364000,0 days 01:12:27.056000,0 days 01:13:00.402000,281.0,294.0,210.0,294.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:11:29.791000,2023-11-26 13:12:30.916,1,1.0,False,,False,True,90.529,18.491,38.692,33.346,4308.364,4347.056,4380.402,4380.32,4289.791,207.8851858263249,305.0,64.82074966630223,10040.457091499411,11721.0,63.82703030253081,42.517778924895985,0.15080527086383602,103,0.0,0,1.9588018972539507,1.549722222305718,5.373352855051245,8,0,0.08899999999999864,635.545,0.1206896551724138,28,0.25,-21.0,0.26200000000000045,90.529,0.1204782137981514,-0.039599999999998664,16.5,-9.5,0.33797463795331995,0.0,426143.5431779352,13268.694055184089,21412.174140111467,70.25992041551079
7,0 days 01:14:30.836000,1,0 days 00:01:30.516000,8.0,,,0 days 00:00:18.368000,0 days 00:00:38.719000,0 days 00:00:33.429000,0 days 01:13:18.770000,0 days 01:13:57.489000,0 days 01:14:30.918000,282.0,293.0,209.0,294.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:13:00.320000,2023-11-26 13:14:01.445,1,1.0,False,,False,True,90.516,18.368,38.719,33.429,4398.77,4437.489,4470.918,4470.836,4380.32,207.7535725241419,305.0,65.28274465648721,10041.903153058474,12036.0,62.39740362141926,42.475454194235496,0.15472779369627507,108,0.0,0,1.5801162345448074,1.5649505036298192,5.373925501432665,8,0,-0.012999999999991019,726.061,0.13793103448275862,28,0.2857142857142857,-20.0,0.24900000000000944,90.5506,0.1015568806137391,-0.0034000000000006026,16.5,-8.5,0.3875794379381607,0.0,439935.1669272475,12963.28351858068,22437.385832607324,80.52101286855182
8,0 days 01:16:01.468000,1,0 days 00:01:30.632000,9.0,,,0 days 00:00:18.439000,0 days 00:00:38.862000,0 days 00:00:33.331000,0 days 01:14:49.357000,0 days 01:15:28.219000,0 days 01:16:01.550000,282.0,293.0,210.0,295.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:14:30.836000,2023-11-26 13:15:31.961,1,1.0,False,,False,True,90.632,18.439,38.862,33.331,4489.357,4528.219,4561.55,4561.468,4470.836,206.30323036219946,305.0,65.7757066659459,10016.990954225228,11925.0,62.93931985207104,42.51699047244466,0.15895953757225434,110,0.0,0,1.6102928312383504,1.5951534840298551,5.26878612716763,8,0,0.11599999999999966,816.693,0.15517241379310345,28,0.32142857142857145,-19.0,0.3650000000000091,90.5338,0.06912452531477978,-0.04229999999999876,16.5,-7.5,0.3830987803485594,0.0,455386.6064378367,12984.585002281965,22693.35533984194,79.0345159337265
9,0 days 01:17:31.974000,1,0 days 00:01:30.506000,10.0,,,0 days 00:00:18.414000,0 days 00:00:38.750000,0 days 00:00:33.342000,0 days 01:16:19.964000,0 days 01:16:58.714000,0 days 01:17:32.056000,282.0,292.0,210.0,295.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:16:01.468000,2023-11-26 13:17:02.593,1,1.0,False,,False,True,90.506,18.414,38.75,33.342,4579.964,4618.714,4652.056,4651.974,4561.468,209.05537476967112,305.0,64.77943858680963,10070.072253209972,11932.0,63.38838621379939,42.55179745027067,0.14705882352941177,100,0.0,0,0.9546150306688062,0.0847222222218988,5.358823529411764,8,0,-0.12600000000000477,907.199,0.1724137931034483,28,0.35714285714285715,-18.0,0.23900000000000432,90.52459999999999,0.0691577905950814,0.023600000000000423,16.5,-6.5,0.5116096951622399,0.0,410626.40718537883,13251.682835970487,20905.53747696711,106.95475655793925
10,0 days 01:19:02.535000,1,0 days 00:01:30.561000,11.0,,,0 days 00:00:18.432000,0 days 00:00:38.836000,0 days 00:00:33.293000,0 days 01:17:50.488000,0 days 01:18:29.324000,0 days 01:19:02.617000,282.0,294.0,210.0,294.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:17:31.974000,2023-11-26 13:18:33.099,1,1.0,False,,False,True,90.561,18.432,38.836,33.293,4670.488,4709.324,4742.617,4742.535,4651.974,206.86454082878313,305.0,64.72100886946512,10056.31608831326,11940.0,63.832402364378446,42.33072048131979,0.15875370919881307,107,0.0,0,0.5182626772774135,0.3017553665769278,5.317507418397626,8,0,0.05500000000000682,997.76,0.1896551724137931,28,0.39285714285714285,-17.0,0.29400000000001114,90.5488,0.050918562430556556,0.023500000000001367,16.5,-5.5,0.6586475548442151,0.0,442048.8303155098,13204.660605105279,22134.505868679797,136.25082400084932
11,0 days 01:20:33.125000,1,0 days 00:01:30.590000,12.0,,,0 days 00:00:18.433000,0 days 00:00:38.875000,0 days 00:00:33.282000,0 days 01:19:21.050000,0 days 01:19:59.925000,0 days 01:20:33.207000,281.0,294.0,210.0,296.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:19:02.535000,2023-11-26 13:20:03.660,1,1.0,False,,False,True,90.59,18.433,38.875,33.282,4761.05,4799.925,4833.207,4833.125,4742.535,206.99887221850872,306.0,65.62296089843288,10057.33484639667,12128.0,64.02112799825169,42.22968494727646,0.14513788098693758,100,0.0,0,0.9524051576660325,0.7351915429162387,5.357039187227866,8,0,0.028999999999996362,1088.35,0.20689655172413793,28,0.42857142857142855,-16.0,0.3230000000000075,90.561,0.05227810249038591,0.005400000000001626,16.5,-4.5,0.5121887719224385,0.0,420125.5979302837,13252.301293794892,20699.887221850873,106.02249815092775
12,0 days 01:22:03.686000,1,0 days 00:01:30.561000,13.0,,,0 days 00:00:18.427000,0 days 00:00:38.811000,0 days 00:00:33.323000,0 days 01:20:51.634000,0 days 01:21:30.445000,0 days 01:22:03.768000,281.0,297.0,210.0,296.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:20:33.125000,2023-11-26 13:21:34.250,1,1.0,False,,False,True,90.561,18.427,38.811,33.323,4851.634,4890.445,4923.768,4923.686,4833.125,207.58595748482628,305.0,66.00026574517113,10045.538102624167,11939.0,63.04349386559908,42.50293283191342,0.1618075801749271,111,0.0,0,1.3872090816592186,1.1709798212446465,5.319241982507289,8,0,-0.028999999999996362,1178.911,0.22413793103448276,28,0.4642857142857143,-15.0,0.29400000000001114,90.57000000000001,0.046103145228887796,0.007699999999999818,16.5,-3.5,0.41889921066526553,0.0,461858.4956983302,13086.944037279158,23042.041280815716,86.9575937355871
13,0 days 01:23:34.333000,1,0 days 00:01:30.647000,14.0,,,0 days 00:00:18.412000,0 days 00:00:38.790000,0 days 00:00:33.445000,0 days 01:22:22.180000,0 days 01:23:00.970000,0 days 01:23:34.415000,281.0,295.0,211.0,297.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:22:03.686000,2023-11-26 13:23:04.811,1,1.0,False,,False,True,90.647,18.412,38.79,33.445,4942.18,4980.97,5014.415,5014.333,4923.686,207.0472467199771,305.0,65.92486731441403,10049.887932504433,11848.0,64.1787142573369,42.334108741769995,0.14658925979680695,101,0.0,0,1.8237592037428778,1.606575698567169,5.303338171262699,8,0,0.08599999999999852,1269.558,0.2413793103448276,28,0.5,-14.0,0.38000000000000966,90.57300000000001,0.051337121072340286,-0.005799999999999273,16.5,-2.5,0.3541378452789124,0.0,427328.29540428735,13288.026085009746,20911.771918717688,73.32326582434405
14,0 days 01:25:04.600000,1,0 days 00:01:30.267000,15.0,,,0 days 00:00:18.168000,0 days 00:00:38.814000,0 days 00:00:33.285000,0 days 01:23:52.583000,0 days 01:24:31.397000,0 days 01:25:04.682000,282.0,295.0,209.0,298.0,True,MEDIUM,15.0,True,Red Bull Racing,0 days 01:23:34.333000,2023-11-26 13:24:35.458,1,1.0,False,,False,True,90.267,18.168,38.814,33.285,5032.583,5071.397,5104.682,5104.6,5014.333,206.02482980483398,305.0,66.81726737895437,10054.768128671085,11909.0,64.82762134819471,42.79819080641487,0.17307692307692307,117,0.0,0,2.259495841178461,2.0427487789073453,5.279585798816568,8,0,-0.38000000000000966,1359.825,0.25862068965517243,28,0.5357142857142857,-13.0,0.0,90.5252,0.14854696227117858,0.02820000000000107,16.5,-1.5,0.30679591222870006,0.0,506797.72757218056,13356.099654914038,24104.905087165575,63.207575601736714
15,0 days 01:26:37.158000,1,0 days 00:01:32.558000,16.0,,0 days 01:26:36.112000,0 days 00:00:18.117000,0 days 00:00:39.027000,0 days 00:00:35.414000,0 days 01:25:22.799000,0 days 01:26:01.826000,0 days 01:26:37.240000,283.0,295.0,0.0,297.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:25:04.600000,2023-11-26 13:26:05.725,1,1.0,False,,False,False,92.558,18.117,39.027,35.414,5122.799,5161.826,5197.24,5197.158,5104.6,201.88422848670913,304.0,72.33209301300184,9941.617175521704,11964.0,63.917617574069965,42.95459716497836,0.19326500732064422,132,0.0,0,2.697835350826382,2.477815554079369,5.169838945827233,8,1,2.291000000000011,1452.383,0.27586206896551724,28,0.5714285714285714,-12.0,2.291000000000011,90.92460000000001,0.9248861010957052,-0.053100000000002014,16.5,-0.5,0.27042848183506135,0.0,610274.9478588984,12903.958910649635,26648.718160245604,54.595245416103396
16,0 days 01:28:27.346000,1,0 days 00:01:50.188000,17.0,0 days 01:26:57.721000,,0 days 00:00:38.181000,0 days 00:00:38.775000,0 days 00:00:33.232000,0 days 01:27:15.421000,0 days 01:27:54.196000,0 days 01:28:27.428000,283.0,289.0,211.0,292.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:26:37.158000,2023-11-26 13:27:38.283,1,7.0,False,,False,False,110.188,38.181,38.775,33.232,5235.421,5274.196,5307.428,5307.346,5197.158,170.44360811753307,303.0,85.38992350839747,9280.093344576844,12072.0,58.13446239598085,40.98800166301374,0.18181818181818182,154,0.0,0,97.63067696004046,0.1577777776692528,4.33530106257379,8,0,17.629999999999995,110.188,0.29310344827586204,40,0.025,-39.0,21.339,110.188,0.0,0.0,42.5,-25.5,0.010138833381475655,0.0,764470.9837679705,9908.647526744022,26248.315650100092,1.7280993436411993
17,0 days 01:29:57.242000,1,0 days 00:01:29.896000,18.0,,,0 days 00:00:18.177000,0 days 00:00:38.474000,0 days 00:00:33.245000,0 days 01:28:45.605000,0 days 01:29:24.079000,0 days 01:29:57.324000,284.0,294.0,212.0,300.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:28:27.346000,2023-11-26 13:29:28.471,1,4.0,False,,False,True,89.896,18.177,38.474,33.245,5325.605,5364.079,5397.324,5397.242,5307.346,207.7449400740785,306.0,66.27855739652988,10026.10397393552,11855.0,63.86092244652014,42.544762575392845,0.16865671641791044,113,0.0,0,155.27368742499155,0.2091666663473006,5.356716417910448,8,0,-20.292,200.084,0.3103448275862069,40,0.05,-38.0,1.046999999999997,100.042,14.348610803837424,0.0,42.5,-24.5,0.006399029910137503,0.0,478284.9089556742,13266.783506727701,23475.17822837087,1.3293660852137517
18,0 days 01:31:26.628000,1,0 days 00:01:29.386000,19.0,,,0 days 00:00:18.279000,0 days 00:00:38.057000,0 days 00:00:33.050000,0 days 01:30:15.603000,0 days 01:30:53.660000,0 days 01:31:26.710000,287.0,301.0,212.0,323.0,True,HARD,3.0,True,Red Bull Racing,0 days 01:29:57.242000,2023-11-26 13:30:58.367,1,3.0,False,,False,True,89.386,18.279,38.057,33.05,5415.603,5453.66,5486.71,5486.628,5397.242,208.8958146248338,331.0,69.36031914863128,10084.986508668966,11967.0,63.96589030837452,42.21722791174334,0.17251461988304093,118,2.0233918128654973,1384,134.9072653454853,1.865833333184128,5.309941520467836,8,0,-0.5100000000000051,289.47,0.3275862068965517,40,0.075,-37.0,0.5369999999999919,96.49000000000001,11.865556371279014,0.0,42.5,-23.5,0.007357958365639493,6.593747485978942,523529.95883699326,13362.206764170656,24649.70612573039,1.5370467067658726
19,0 days 01:32:56.256000,1,0 days 00:01:29.628000,20.0,,,0 days 00:00:18.203000,0 days 00:00:38.358000,0 days 00:00:33.067000,0 days 01:31:44.913000,0 days 01:32:23.271000,0 days 01:32:56.338000,285.0,301.0,210.0,306.0,False,HARD,4.0,True,Red Bull Racing,0 days 01:31:26.628000,2023-11-26 13:32:27.753,1,3.0,False,,False,True,89.628,18.203,38.358,33.067,5504.913,5543.271,5576.338,5576.256,5486.628,209.73637003456616,310.0,67.09524271101934,10101.594722703925,11891.0,65.14793495200279,42.13764748511244,0.16224188790560473,110,0.0,0,67.45106720457859,0.0016666660230839,5.349557522123894,8,0,0.24200000000000443,379.098,0.3448275862068966,40,0.1,-36.0,0.7789999999999964,94.7745,10.277777629429428,0.0,42.5,-22.5,0.01460897602971355,0.0,480822.81584989594,13663.891392081103,23071.000703802278,3.0640336023941086
20,0 days 01:34:25.383000,1,0 days 00:01:29.127000,21.0,,,0 days 00:00:18.244000,0 days 00:00:37.840000,0 days 00:00:33.043000,0 days 01:33:14.582000,0 days 01:33:52.422000,0 days 01:34:25.465000,286.0,322.0,211.0,312.0,True,HARD,5.0,True,Red Bull Racing,0 days 01:32:56.256000,2023-11-26 13:33:57.381,1,2.0,False,,False,True,89.127,18.244,37.84,33.043,5594.582,5632.422,5665.465,5665.383,5576.256,210.7144376557434,333.0,70.36373394959882,10133.886349125001,11966.0,64.08882894948103,42.44764747487407,0.1795252225519288,121,3.163204747774481,2132,58.37836854311188,0.1263888882822357,5.353115727002967,8,0,-0.5010000000000048,468.225,0.3620689655172414,40,0.125,-35.0,0.2779999999999916,93.64500000000001,9.252209790098794,0.0,42.5,-21.5,0.016841149808182188,10.070168211516693,545653.0464304582,13504.441552105023,25496.446956344953,3.548673411307241
21,0 days 01:35:55.072000,1,0 days 00:01:29.689000,22.0,,,0 days 00:00:18.395000,0 days 00:00:38.444000,0 days 00:00:32.850000,0 days 01:34:43.860000,0 days 01:35:22.304000,0 days 01:35:55.154000,283.0,298.0,211.0,303.0,False,HARD,6.0,True,Red Bull Racing,0 days 01:34:25.383000,2023-11-26 13:35:26.508,1,2.0,False,,False,True,89.689,18.395,38.444,32.85,5683.86,5722.304,5755.154,5755.072,5665.383,208.60013154051526,308.0,66.11049846024676,10076.794183113901,11911.0,64.41610744969228,41.805105407742715,0.16248153618906944,110,0.0,0,76.10831796965643,0.1336111108685145,5.3397341211226,8,0,0.5619999999999976,557.914,0.3793103448275862,40,0.15,-34.0,0.8399999999999892,89.5452,0.29615485813998654,-4.239000000000002,42.5,-20.5,0.012968769470415874,0.0,468443.90696047683,13437.208487333774,22946.01446945668,2.70528701744737
22,0 days 01:37:24.706000,1,0 days 00:01:29.634000,23.0,,,0 days 00:00:18.251000,0 days 00:00:38.546000,0 days 00:00:32.837000,0 days 01:36:13.405000,0 days 01:36:51.951000,0 days 01:37:24.788000,284.0,297.0,211.0,297.0,False,HARD,7.0,True,Red Bull Racing,0 days 01:35:55.072000,2023-11-26 13:36:56.197,1,1.0,True,TRACK LIMITS AT TURN 1 LAP 23 ,False,True,89.634,18.251,38.546,32.837,5773.405,5811.951,5844.788,5844.706,5755.072,208.61324311237055,306.0,66.31398122123815,10095.586148996206,11807.0,65.10917907844116,41.74995798560421,0.1586608442503639,109,0.0,0,9.940061673995153,6.595458849447732,5.323144104803493,8,0,-0.05499999999999261,647.548,0.39655172413793105,40,0.175,-33.0,0.7849999999999966,89.4928,0.2355455369985058,-0.06730000000000161,42.5,-19.5,0.09140716293922084,0.0,470623.7277824397,13582.637003937716,22738.84349924839,19.068744704451746
23,0 days 01:38:53.999000,1,0 days 00:01:29.293000,24.0,,,0 days 00:00:18.149000,0 days 00:00:38.385000,0 days 00:00:32.759000,0 days 01:37:42.937000,0 days 01:38:21.322000,0 days 01:38:54.081000,284.0,298.0,212.0,304.0,False,HARD,8.0,True,Red Bull Racing,0 days 01:37:24.706000,2023-11-26 13:38:25.831,1,1.0,False,,False,True,89.293,18.149,38.385,32.759,5862.937,5901.322,5934.081,5933.999,5844.706,209.6463194915714,306.0,65.58488083856426,10109.95679341269,12011.0,65.90699120273264,41.73634792141693,0.15304606240713226,103,0.0,0,9.087398241836455,4.189999999929569,5.341753343239227,8,0,-0.340999999999994,736.841,0.41379310344827586,40,0.2,-32.0,0.4440000000000026,89.4742,0.24935456683187943,0.05570000000000022,42.5,-18.5,0.09913358985398257,0.0,445217.7229393309,13817.158134416273,21593.570907631856,20.78299225087443
24,0 days 01:40:23.400000,1,0 days 00:01:29.401000,25.0,,,0 days 00:00:18.161000,0 days 00:00:38.436000,0 days 00:00:32.804000,0 days 01:39:12.242000,0 days 01:39:50.678000,0 days 01:40:23.482000,284.0,302.0,212.0,301.0,False,HARD,9.0,True,Red Bull Racing,0 days 01:38:53.999000,2023-11-26 13:39:55.124,1,1.0,False,,False,True,89.401,18.161,38.436,32.804,5952.242,5990.678,6023.482,6023.4,5933.999,210.7253757102338,307.0,65.62770094112781,10135.837153847106,11968.0,65.71736465885714,42.02842486973099,0.1588235294117647,108,0.0,0,9.214923634604132,2.368888888813672,5.394117647058824,8,0,0.10799999999998988,826.242,0.43103448275862066,40,0.225,-31.0,0.5519999999999925,89.4288,0.23457877141786604,-0.01629999999999825,42.5,-17.5,0.0978959839320183,0.0,465790.99188281596,13848.31635842411,22758.34057670525,20.629167994597566
25,0 days 01:41:52.689000,1,0 days 00:01:29.289000,26.0,,,0 days 00:00:18.151000,0 days 00:00:38.435000,0 days 00:00:32.703000,0 days 01:40:41.633000,0 days 01:41:20.068000,0 days 01:41:52.771000,284.0,297.0,212.0,301.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:40:23.400000,2023-11-26 13:41:24.525,1,1.0,False,,False,True,89.289,18.151,38.435,32.703,6041.633,6080.068,6112.771,6112.689,6023.4,210.36915272023248,306.0,66.54303635905569,10116.65308410109,12182.0,65.03440784956656,42.31852993140186,0.16296296296296298,110,0.0,0,11.481898042363564,0.6108333332231268,5.408888888888889,8,0,-0.11199999999999477,915.531,0.4482758620689655,40,0.25,-30.0,0.4399999999999977,89.4612,0.1892886684403307,0.015200000000001525,42.5,-16.5,0.08011602054479212,0.0,476034.56627357006,13681.233276975354,23140.606799225574,16.85393936132466
26,0 days 01:43:21.845000,1,0 days 00:01:29.156000,27.0,,,0 days 00:00:18.092000,0 days 00:00:38.399000,0 days 00:00:32.665000,0 days 01:42:10.863000,0 days 01:42:49.262000,0 days 01:43:21.927000,285.0,298.0,213.0,302.0,False,HARD,11.0,True,Red Bull Racing,0 days 01:41:52.689000,2023-11-26 13:42:53.814,1,1.0,False,,False,True,89.156,18.092,38.399,32.665,6130.863,6169.262,6201.927,6201.845,6112.689,208.97709099060327,307.0,66.42800236561509,10101.219927236174,11961.0,65.7889749156727,41.878846543581425,0.14595375722543352,101,0.0,0,7.07738577088973,0.124722222040873,5.339595375722543,8,0,-0.13299999999999557,1004.687,0.46551724137931033,40,0.275,-29.0,0.30700000000000216,89.3546,0.17871569600881412,-0.10329999999999871,42.5,-15.5,0.12380243167336667,0.0,441393.24831429945,13748.38859713105,21106.686190050932,25.87187202866309
27,0 days 01:44:51.062000,1,0 days 00:01:29.217000,28.0,,,0 days 00:00:18.052000,0 days 00:00:38.437000,0 days 00:00:32.728000,0 days 01:43:39.979000,0 days 01:44:18.416000,0 days 01:44:51.144000,286.0,295.0,211.0,297.0,False,HARD,12.0,True,Red Bull Racing,0 days 01:43:21.845000,2023-11-26 13:44:22.970,1,1.0,False,,False,True,89.217,18.052,38.437,32.728,6219.979,6258.416,6291.144,6291.062,6201.845,209.80762693891478,306.0,66.76739798055749,10114.925562266571,11844.0,65.89965940847327,42.05839682807385,0.15712187958883994,107,0.0,0,5.417870538222065,0.9278882694749816,5.409691629955947,8,0,0.06099999999999284,1093.904,0.4827586206896552,40,0.3,-28.0,0.367999999999995,89.2712,0.09199021687068473,-0.09599999999999938,42.5,-14.5,0.15581492241771347,0.0,470794.5201564335,13826.251156574504,22449.416082463882,32.69115911413157
28,0 days 01:46:20.245000,1,0 days 00:01:29.183000,29.0,,,0 days 00:00:17.953000,0 days 00:00:38.469000,0 days 00:00:32.761000,0 days 01:45:09.097000,0 days 01:45:47.566000,0 days 01:46:20.327000,286.0,298.0,211.0,301.0,False,HARD,13.0,True,Red Bull Racing,0 days 01:44:51.062000,2023-11-26 13:45:52.187,1,1.0,False,,False,True,89.183,17.953,38.469,32.761,6309.097,6347.566,6380.327,6380.245,6291.062,210.38246838446727,306.0,66.47797814019228,10118.457434972312,11986.0,67.14499588096686,42.16316127349698,0.1708029197080292,117,0.0,0,4.6620459831346714,1.18444444402121,5.378102189781022,8,0,-0.033999999999991815,1183.087,0.5,40,0.325,-27.0,0.3340000000000032,89.2492,0.0984032519783564,-0.03970000000000056,42.5,-13.5,0.1766146023855446,0.0,522248.6375025912,14126.129973102696,24614.74880098267,37.1566160026121
